,MNIST/params,MNIST/test_AP,MNIST/test_acc,CIFAR10/params,CIFAR10/test_AP,CIFAR10/test_acc,CIFAR100/params,CIFAR100/test_AP,CIFAR100/test_acc
LeNet,61.7K,0.986,0.984,62.0K,0.482,0.542,69.7K,0.103,0.171
LeNetLinearDCT,50.9K,0.951,0.981,51.2K,0.408,0.521,51.4K,0.068,0.117
LeNetConvDCT,14.9K,0.369,0.466,14.9K,0.189,0.225,22.5K,0.028,0.037
LeNetDCT,4.1K,0.253,0.412,4.1K,0.187,0.253,4.2K,0.024,0.025
LeNetLinearDST,50.9K,0.974,0.983,51.2K,0.452,0.555,51.4K,0.105,0.175
LeNetConvDST,14.9K,0.233,0.28,14.9K,0.174,0.201,22.5K,0.024,0.027
LeNetDST,4.1K,0.295,0.349,4.1K,0.170,0.195,4.2K,0.020,0.019
LeNetLinearDFT,51.0K,0.964,0.979,51.3K,0.448,0.533,51.5K,0.072,0.145
LeNetConvDFT,14.9K,0.101,0.098,14.9K,0.101,0.100,22.5K,0.011,0.010
LeNetDFT,4.1K,0.541,0.826,4.1K,0.185,0.263,4.4K,0.020,0.031
LeNetLinearRealShannon,50.9K,0.968,0.984,51.2K,0.235,0.512,51.4K,0.027,0.106
LeNetConvRealShannon,14.9K,0.868,0.898,14.9K,0.249,0.319,22.5K,0.030,0.050
LeNetRealShannon,4.1K,0.571,0.781,4.1K,0.142,0.242,4.2K,0.020,0.019
LeNetLinearShannon,51.0K,0.968,0.984,51.3K,0.430,0.542,51.5K,0.061,0.137
LeNetConvShannon,14.9K,0.101,0.098,14.9K,0.101,0.100,22.5K,0.011,0.010
LeNetShannon,4.1K,0.544,0.845,4.1K,0.206,0.274,4.4K,0.021,0.030
,,,,,,,,,
AlexNet,,,,,,,,,
AlexNetLinearDCT,,,,,,,,,
AlexNetConvDCT,,,,,,,,,
AlexNetDCT,,,,,,,,,
AlexNetLinearDST,,,,,,,,,
AlexNetConvDST,,,,,,,,,
AlexNetDST,,,,,,,,,
AlexNetLinearDFT,,,,,,,,,
AlexNetConvDFT,,,,,,,,,
AlexNetDFT,,,,,,,,,
AlexNetLinearRealShannon,,,,,,,,,
AlexNetConvRealShannon,,,,,,,,,
AlexNetRealShannon,,,,,,,,,
AlexNetLinearShannon,,,,,,,,,
AlexNetConvShannon,,,,,,,,,
AlexNetShannon,,,,,,,,,
,,,,,,,,,
ResNet-18,,,,,,,,,
ResNet-18LinearDCT,,,,,,,,,
ResNet-18ConvDCT,,,,,,,,,
ResNet-18DCT,,,,,,,,,
ResNet-18LinearDST,,,,,,,,,
ResNet-18ConvDST,,,,,,,,,
ResNet-18DST,,,,,,,,,
ResNet-18LinearDFT,,,,,,,,,
ResNet-18ConvDFT,,,,,,,,,
ResNet-18DFT,,,,,,,,,
ResNet-18LinearRealShannon,,,,,,,,,
ResNet-18ConvRealShannon,,,,,,,,,
ResNet-18RealShannon,,,,,,,,,
ResNet-18LinearShannon,,,,,,,,,
ResNet-18ConvShannon,,,,,,,,,
ResNet-18Shannon,,,,,,,,,
,,,,,,,,,
ResNet-50,,,,,,,,,
ResNet-50LinearDCT,,,,,,,,,
ResNet-50ConvDCT,,,,,,,,,
ResNet-50DCT,,,,,,,,,
ResNet-50LinearDST,,,,,,,,,
ResNet-50ConvDST,,,,,,,,,
ResNet-50DST,,,,,,,,,
ResNet-50LinearDFT,,,,,,,,,
ResNet-50ConvDFT,,,,,,,,,
ResNet-50DFT,,,,,,,,,
ResNet-50LinearRealShannon,,,,,,,,,
ResNet-50ConvRealShannon,,,,,,,,,
ResNet-50RealShannon,,,,,,,,,
ResNet-50LinearShannon,,,,,,,,,
ResNet-50ConvShannon,,,,,,,,,
ResNet-50Shannon,,,,,,,,,
,,,,,,,,,
DenseNet-121,,,,,,,,,
DenseNet-121LinearDCT,,,,,,,,,
DenseNet-121ConvDCT,,,,,,,,,
DenseNet-121DCT,,,,,,,,,
DenseNet-121LinearDST,,,,,,,,,
DenseNet-121ConvDST,,,,,,,,,
DenseNet-121DST,,,,,,,,,
DenseNet-121LinearDFT,,,,,,,,,
DenseNet-121ConvDFT,,,,,,,,,
DenseNet-121DFT,,,,,,,,,
DenseNet-121LinearRealShannon,,,,,,,,,
DenseNet-121ConvRealShannon,,,,,,,,,
DenseNet-121RealShannon,,,,,,,,,
DenseNet-121LinearShannon,,,,,,,,,
DenseNet-121ConvShannon,,,,,,,,,
DenseNet-121Shannon,,,,,,,,,
,,,,,,,,,
DenseNet-201,,,,,,,,,
DenseNet-201LinearDCT,,,,,,,,,
DenseNet-201ConvDCT,,,,,,,,,
DenseNet-201DCT,,,,,,,,,
DenseNet-201LinearDST,,,,,,,,,
DenseNet-201ConvDST,,,,,,,,,
DenseNet-201DST,,,,,,,,,
DenseNet-201LinearDFT,,,,,,,,,
DenseNet-201ConvDFT,,,,,,,,,
DenseNet-201DFT,,,,,,,,,
DenseNet-201LinearRealShannon,,,,,,,,,
DenseNet-201ConvRealShannon,,,,,,,,,
DenseNet-201RealShannon,,,,,,,,,
DenseNet-201LinearShannon,,,,,,,,,
DenseNet-201ConvShannon,,,,,,,,,
DenseNet-201Shannon,,,,,,,,,
